year,species,comp_type,base
2016,301,female,452.6481051329813
2016,301,male,393.03537501371727
2016,301,total,909.5262507277001
2018,301,female,532.7978208274833
2018,301,male,427.36430075862904
2018,301,total,1111.4366584027205
2020,301,female,481.68955559348956
2020,301,male,316.17181978265126
2020,301,total,668.4901933951767
2022,301,female,507.1720009063637
2022,301,male,413.14245407786893
2022,301,total,946.707408617516
